AUM,AUM_val,Net Sharpe,Net CAGR,Max Drawdown,Shortfall_vs_10M_pp,Execution_drag_pct_NAV
$10M,10000000,0.924118155708877,19.664612687873433,-31.75033869377371,0.0,0.0
$25M,25000000,0.9239190540796911,19.660449821205365,-31.75033869377367,0.004162866668067089,0.0034787783744549827
$50M,50000000,0.9236946444372128,19.655758370534794,-31.7503386937737,0.008854317338635731,0.007399277981812169
$100M,100000000,0.9233772324579301,19.64912365289811,-31.750338693773685,0.0154890349753245,0.012943705434220742
$250M,250000000,0.9227472760801337,19.635959481312142,-31.750338693773745,0.028653206561291,0.023944594745006764
$500M,500000000,0.9220370618005927,19.621123759452246,-31.750338693773735,0.04348892842118701,0.03634234670079062
$1.0B,1000000000,0.9210321819476296,19.60014283563365,-31.750338693773706,0.06446985223977908,0.053875453061413836
$2.5B,2500000000,0.9190366922723601,19.55851375637732,-31.750338693773685,0.10609893149611249,0.08866358158268195
$5.0B,5000000000,0.9167851713681412,19.511598561614488,-31.75033869377371,0.1530141262589435,0.12786915264419996
