Date,AOBL-SOS (Proposed),SOS (Baseline),GA,PSO,DE,Ledoit-Wolf,Max Sharpe,Min Variance,Equal Weight (1/N)
2018-01-02,0.0026450324800466607,0.006500243051687171,0.009153385522580493,-0.002304330801210064,0.0031634202783039633,0.004121249040337727,0.003989559095757711,-0.003613121207046155,0.007688578925831635
2018-01-03,0.010947193786436996,0.00610819432606143,0.01671145407298848,0.0027246843985303465,0.01108871902692361,0.009791722882873463,0.009648411683715871,0.001591020912408504,0.008035347755890805
2018-01-04,0.0056295225460321055,0.0037048270931569916,0.005779557055727954,0.0047323105322626,0.00419437704197391,0.004025264436816848,0.004039966346156288,0.004832200552862417,0.005295992711320082
2018-01-05,0.007120780427133051,0.007768843518169945,0.009274014405900591,0.00691085367401801,0.006704807634244143,0.007906025751431284,0.007900429337360775,0.0024213723896860636,0.007048677615739028
2018-01-08,0.004447424522750404,0.009317245591382441,0.004870429234421195,0.0037249984698081067,0.00736908142242511,0.005365083773912885,0.005359176528274654,0.0012466257677391402,0.003045925808205878
2018-01-09,0.0019252704222284217,-0.001988051913880481,0.0009931807591584704,0.00040008147172842146,4.188025774255705e-06,8.371662624049458e-05,0.00011965870820651941,-0.0013839907449127533,0.0020099915413645648
2018-01-10,-0.003762537470501518,0.000640201536088668,-0.0007911388415232343,-0.0014294778790247076,-0.0005353565746056475,-0.002191524674508047,-0.0021841800836726478,-0.005357687449313319,-0.0022564150351129845
2018-01-11,0.004401763676758538,0.005201288034460829,0.006925031684033145,0.006256648274272233,0.004995540942505432,0.0060163107643510004,0.005960065755895976,0.0006281150163516982,0.006496094253547452
2018-01-12,0.009484600642509005,0.005233347072373161,0.00662715425815087,0.007653822630762665,0.005890337770826273,0.006988606927122327,0.007000730976856857,0.001556506328574685,0.006236573480893053
2018-01-16,-0.004295507567864913,-0.007407464675619548,-0.0049439208992828896,-0.004566045381778708,-0.007859516910820262,-0.005525639984244934,-0.005551379716616927,-0.0012597680120243393,-0.003359296718561032
2018-01-17,0.010912710105172705,0.009290415663591775,0.009673827938687079,0.010833138460928902,0.010794823384506253,0.011526663158840423,0.011582421682271068,0.0074857350744988865,0.01100694114768706
2018-01-18,-0.00013664531920744503,0.00032604821020219854,0.0022884023004018676,-0.004389183083355671,-0.0005784107264358398,6.663009147526927e-05,-1.6829434224667305e-05,-0.0031647245289913393,-0.0006500509161996436
2018-01-19,0.004122406288939612,0.005684556841213488,0.01055387302431381,0.005742651474509201,0.007674072166477096,0.0058751511553832465,0.00587951724255229,0.0021970628855064317,0.0049234555150211605
2018-01-22,0.003056875650792901,0.0052099556340241635,0.008740061123173144,0.00371409371964103,0.00456140389370546,0.004985747667568177,0.0049487044284143656,0.003001981954906165,0.006410962248093154
2018-01-23,0.009254148830104761,0.013495898168214074,0.008624098619371317,0.009899059431529727,0.00784526352905299,0.011341484161158428,0.011340667316150087,-0.005242831752934529,0.003537935425973053
2018-01-24,-0.0010336876127956267,0.00200605886506269,0.003444711585292311,0.0037139931087693677,0.003235535951451305,0.002677470089825348,0.0026697992244563533,-0.00038086993833967564,0.00031587674421720136
