Factor,Coefficient,t-stat,p-value
Alpha (ann.),-0.04930389524995159,-0.5179193687947271,0.6045145276127537
MKT,0.8214284307385827,27.270945905039973,9.381658951483114e-164
SMB,-0.17804087540717203,-2.67959881571774,0.007371044359521098
HML,-0.29341012255888954,-6.51737729397733,7.154730564500723e-11
MOM,0.042650067005802324,1.1000948608795933,0.27129079275088097
Adj. R2,0.8642141540518719,,
