AUM,AUM_val,Net Sharpe,Net Return,Max Drawdown
$10M,10000000,1.9390376306516222,24.863852036718363,-9.280560920136782
$50M,50000000,1.9385502189023207,24.85847829807327,-9.28081496496096
$100M,100000000,1.9381847926605165,24.854451751879967,-9.281005305454848
$250M,250000000,1.9374592341811776,24.846462806756577,-9.281382914869607
$500M,500000000,1.9366407446566511,24.83745986771675,-9.281808389682089
$1000M,1000000000,1.935481776014215,24.824728522458226,-9.282409954160908
$5000M,5000000000,1.9305720862573759,24.77100915995336,-9.284946770244296
