Factor,Coefficient,t-stat,p-value
Alpha (ann.),0.06534970268750895,2.006045012739687,0.04485144571624485
MKT,0.9460596034679086,44.406260253416576,0.0
SMB,-0.12751971997586525,-4.2113349561617355,2.5386599599832927e-05
HML,-0.21257060734448477,-9.64829246949127,4.998100216200052e-22
MOM,0.057866080412173004,3.0710986000687543,0.0021327270966762075
Adj. R2,0.8310985707800003,,
N,1761.0,,
